"","title","sales","console_PS4","console_XBox1","console_Switch","genre_Fighting","genre_Misc","genre_Platform","genre_Racing","genre_RPG","genre_Shooter","genre_Sports","genre_Action_Adventure","player_vector","esrb_vector","metascore","user_score_x10","igdb_member_rating","igdb_critic_rating","ign_x10","mgAverage"
"220","Life is Strange",117932,1,0,0,0,0,0,0,0,0,0,1,0,3,85,86,85,79,82.9555555555555,79.7777777777778
"221","Life Is Strange: Before the Storm",28212,1,0,0,0,0,0,0,0,0,0,1,0,3,77,78,76,77,74.68,65.4
"222","Little Nightmares",99173,1,0,0,0,0,1,0,0,0,0,0,2,3,78,79,83,78,88,81.3333333333333
"223","LittleBigPlanet 3",923725,1,0,0,0,0,1,0,0,0,0,0,1,0,79,71,76,78,68,77.6666666666667
"224","Lords of the Fallen",81521,1,0,0,0,0,0,0,1,0,0,0,0,3,68,64,67,69,74,73.2222222222222
"225","Mad Max",622654,1,0,0,0,0,0,0,0,0,0,1,0,3,69,78,78,72,65.4,30
"226","Madden NFL 15",1687257,1,0,0,0,0,0,0,0,0,1,0,1,0,81,61,71,83,87,82
"227","Madden NFL 16",2950596,1,0,0,0,0,0,0,0,0,1,0,1,0,83,58,84,84,88,86.6
"228","Madden NFL 17",2965948,1,0,0,0,0,0,0,0,0,1,0,1,0,82,43,70,80,86,84
"229","Madden NFL 18",2404666,1,0,0,0,0,0,0,0,0,1,0,1,0,82,35,77,79,86,82.1
"230","Madden NFL 19",2214368,1,0,0,0,0,0,0,0,0,1,0,1,0,80,21,70,81,89,80.9
"231","Madden NFL 25",132236,0,1,0,0,0,0,0,0,0,1,0,2,3,73,58,78,78,76,75
"232","Mafia III",2289297,1,0,0,0,0,0,0,0,0,0,1,0,3,68,52,68,68,75,66.2
"233","Mario + Rabbids Kingdom Battle",2096254,0,0,1,0,1,0,0,0,0,0,0,0,1,85,85,76,83,77,87.9
"234","Mario Kart 8 Deluxe",13046117,0,0,1,0,0,0,1,0,0,0,0,2,0,92,86,86,93,93,90.5
"235","Mario Tennis Aces",1512344,0,0,1,0,0,0,0,0,0,1,0,1,0,75,71,72,78,73.72,72.6
"236","Marvel's Spider-Man",8757859,1,0,0,0,0,0,0,0,0,0,1,0,2,87,86,88,90,87,86.4
"237","Marvel vs. Capcom: Infinite",172438,1,0,0,1,0,0,0,0,0,0,0,2,2,72,46,81,69,77,71.8
"238","Mass Effect: Andromeda",1081002,1,0,0,0,0,0,0,1,0,0,0,1,3,71,49,72,73,77,66.6
"239","Mega Man 11",148166,0,0,1,0,0,1,0,0,0,0,0,0,1,80,84,80,80,75,79.5
"240","Mega Man Legacy Collection",32225,1,0,0,0,0,1,0,0,0,0,0,2,3,77,66,95,79,90,74.4
"241","Mega Man Legacy Collection 1+2",52911,1,0,0,0,0,1,0,0,0,0,0,2,3,85,85,85,85,85,85
"242","Mega Man Legacy Collection 2",21166,1,0,0,0,0,0,0,0,0,0,1,2,3,71,72,10,71,60,73.5
"243","Metal Gear Solid V: Ground Zeroes",687150,1,0,0,0,0,0,0,0,0,0,1,0,3,75,64,76,79,80,73.7
"244","Metal Gear Solid V: The Phantom Pain",2424092,1,0,0,0,0,0,0,0,0,0,1,2,3,93,82,86,96,100,93.7777777777778
"245","Metal Gear Survive",112591,1,0,0,0,0,0,0,0,0,0,1,1,3,60,14,30,60,65,54.3
"246","Metal Max Xeno",16029,1,0,0,0,0,0,0,1,0,0,0,0,2,61,55,61.125,70,61.125,58.5
"247","Metro: Redux",97757,1,0,0,0,0,0,0,0,1,0,0,0,3,83,79,85,84,86,85
"248","Micro Machines: World Series",60775,1,0,0,0,0,0,1,0,0,0,0,2,1,59,37,55,54,51.84,54.2
"249","Middle-Earth: Shadow of Mordor",2304226,1,0,0,0,0,0,0,0,0,0,1,0,3,84,80,81,84,93,83
"250","Middle-Earth: Shadow of War",1749035,1,0,0,0,0,0,0,0,0,0,1,0,3,80,41,80,84,90,83.8
"251","Mighty No. 9",32085,1,0,0,0,1,0,0,0,0,0,0,1,1,52,35,57,52,56,54.5
"252","MineCraft",5531195,0,1,0,0,1,0,0,0,0,0,0,2,1,88,67,75,84,90,100
"253","Minecraft: PlayStation 4 Edition",3682214,1,0,0,0,1,0,0,0,0,0,0,2,1,89,65,83.675,83.675,90,90.7
"254","Minecraft: Switch Edition",1888081,0,0,1,0,1,0,0,0,0,0,0,2,1,86,74,86,85,90,89
"255","Minecraft: Xbox One Edition",765105,0,1,0,0,0,0,0,0,0,0,1,2,1,88,67,75,82.04,90,90.2
"256","Mirror's Edge 2",183701,1,0,0,0,1,0,0,0,0,0,0,2,3,69.125,69.125,68,69,68,71.5
"257","Mirror's Edge Catalyst",159788,1,0,0,0,0,1,0,0,0,0,0,2,3,69,56,68,69,68,71.5
"258","MLB 14 The Show",264934,1,0,0,0,0,0,0,0,0,0,1,2,3,83,76,82.6,83,81,90
"259","MLB 15: The Show",360082,1,0,0,0,0,0,0,0,0,1,0,2,3,80,76,82,79,85,90
"260","MLB 16: The Show",721772,1,0,0,0,0,0,0,0,0,0,1,2,0,85,72,85,85,93,90
"261","MLB The Show 17",860351,1,0,0,0,0,0,0,0,0,1,0,2,0,85,69,84.4,87,95,86
"262","MLB The Show 18",628312,1,0,0,0,0,0,0,0,0,1,0,2,0,82,63,79,80,85,85
"263","Monster Energy Supercross - The Official Videogame",37371,1,0,0,0,0,0,1,0,0,0,0,2,3,60.2380952380952,60.2380952380952,70,58,60.2380952380952,52.7142857142857
"264","Monster Hunter: World",4304815,1,0,0,0,0,0,0,0,0,0,1,1,2,90,77,89,93,95,90.5
"265","Mortal Kombat X",2472136,1,0,0,1,0,0,0,0,0,0,0,2,3,83,78,81,84,84,82.1111111111111
"266","MotoGP 17",14190,1,0,0,0,0,0,1,0,0,0,0,2,0,68,41,50,80,61.24,67.2
"267","Murdered: Soul Suspect",84633,1,0,0,0,0,0,0,0,0,0,1,2,3,59,69,67,61,55,63.4
"268","MX vs ATV All Out",27203,1,0,0,0,0,0,1,0,0,0,0,2,1,42,46,50,45.5,45.5,44
"269","MXGP 2",22906,1,0,0,0,0,0,1,0,0,0,0,2,3,60.2222222222222,60.2222222222222,80,40,60.2222222222222,60.6666666666667
"270","MXGP 3: The Official Motocross Videogame",54753,1,0,0,0,0,0,1,0,0,0,0,2,3,58.0833333333333,58.0833333333333,33,80,58.0833333333333,61.25
"271","My Hero One's Justice",144708,1,0,0,1,0,0,0,0,0,0,0,1,2,68,75,70,69,70,74.875
"272","Naruto Shippuden: Ultimate Ninja Storm 4",849632,1,0,0,1,0,0,0,0,0,0,0,2,2,79,80,78,75,55,77.5
"273","Naruto Shippuden: Ultimate Ninja Storm Legacy",36482,1,0,0,1,0,0,0,0,0,0,0,2,3,70,70,69,66,71.6666666666667,83.3333333333333
