"","title","sales","console_PS4","console_XBox1","console_Switch","genre_Fighting","genre_Misc","genre_Platform","genre_Racing","genre_RPG","genre_Shooter","genre_Sports","genre_Action_Adventure","player_vector","esrb_vector","metascore","user_score_x10","igdb_member_rating","igdb_critic_rating","ign_x10","mgAverage"
"480","WWE 2K18",1124012,1,0,0,0,0,0,0,0,0,1,0,1,2,66,55,NA,NA,70,60.9
"481","WWE 2K19",719217,1,0,0,1,0,0,0,0,0,0,0,1,2,77,55,NA,NA,73,71.2
"482","XCOM 2",60832,1,0,0,0,1,0,0,0,0,0,0,1,2,87,73,NA,NA,93,87.6666666666667
"483","Xenoblade Chronicles 2",881622,0,0,1,0,0,0,0,1,0,0,0,0,2,83,87,NA,NA,85,83.3333333333333
"484","Xenoblade Chronicles 2: Torna Golden Country",22367,0,0,1,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,79
"485","Yakuza 0",94029,1,0,0,0,0,0,0,0,0,0,1,0,3,85,85,NA,NA,85,82.5555555555556
"486","Yakuza 3",25974,1,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,85,80.5
"487","Yakuza 6",540284,1,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,75,84.2857142857143
"488","Yakuza Kiwami",239707,1,0,0,0,0,0,0,0,0,0,1,0,3,80,81,NA,NA,79,81.2
"489","Yakuza Kiwami 2",275211,1,0,0,0,0,0,0,0,0,0,1,0,3,85,81,NA,NA,80,85.5555555555556
"490","Yakuza: Kiwami",101834,1,0,0,0,0,0,0,0,0,0,1,0,3,80,81,NA,NA,79,81.2
"491","Yooka-Laylee",57411,1,0,0,0,0,1,0,0,0,0,0,2,NA,68,62,NA,NA,70,71
"492","Yoru no Nai Kuni",35814,1,0,0,0,0,0,0,1,0,0,0,0,2,67,72,NA,NA,NA,62.2222222222222
"493","Ys VIII: Lacrimosa of Dana",26732,0,0,1,0,0,0,0,1,0,0,0,0,2,82,88,NA,NA,NA,75.5555555555556
"494","Zanki Zero: Last Beginning",15528,1,0,0,0,0,0,0,1,0,0,0,0,3,72,61,NA,NA,NA,72.6666666666667
"495","Zombie Army Trilogy",22848,1,0,0,0,0,0,0,0,1,0,0,1,3,62,69,NA,NA,NA,69.1
"496","Zone of the Enders: The 2nd Runner M<U+2200>RS",33273,1,0,0,0,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,69.1
